#BANK
Name        accound~
Password    506915c743283740e58c452580f794e3f63f4e5796ff0fa99f9321f80a077879~
LastUsed    1412420533
End

#BANK
Name        account~
Password    0c19be87d39d05523f208f16b8f8a6e8ddfc1147ae7bbbcee28c601958da31e8~
LastUsed    1418499056
Bronze      5200
Copper      10000
Gold        774
Silver      2958
End

#BANK
Name        althea~
Password    a3eb0de0c8a80d335e1e908481d0a41e7187503d72d333b9e883320963a2035f~
LastUsed    1415123115
Bronze      216
Copper      3168
Gold        2016
Silver      838
End

#BANK
Name        atlan~
Password    0eff44e9dfdff56974e958e3c715565cd2bf28cd7b33cfe99f54587914c88e1a~
LastUsed    1406632437
Bronze      2000
End

#BANK
Name        brinug~
Password    1ae9a778d454cdd297880a7f96adc1021f6c66e3b3d057bd52eb562e99d2d281~
LastUsed    1416346998
Bronze      75
Copper      500
Gold        100
End

#BANK
Name        caelum~
Password    fb505be51e35cf271711d092c4233cb9868d7be12a8f035049e5ec302a7900a8~
LastUsed    1415901673
Bronze      3500
Copper      7200
Gold        2600
Silver      5200
End

#BANK
Name        cellban~
Password    bd1025791beefefd8a53dc1061506b681982e7b122e3153ea45b81d224fb3e69~
LastUsed    1414448145
Bronze      654
Copper      6086
Gold        588
Silver      103
End

#BANK
Name        clamatastra~
Password    44f324fa7c9c1725e1c1ff46c2d990a697a3b44862019cd5b4a2d94261408299~
LastUsed    1408507090
Gold        482
End

#BANK
Name        dagg~
Password    bd4b6c7929d5de8574cb174073382f279074fa1b1b8b5ce9a4d24c30d969d4e5~
LastUsed    1415575383
Bronze      3907
Copper      10960
Gold        1735
Silver      283
End

#BANK
Name        dakar~
Password    236e2b159a1f3b23c48caea6ea60bf60788cf3bb34fd9e66f47f70603b5d9304~
LastUsed    1407612151
Gold        3520
End

#BANK
Name        doidus~
Password    c0eea07fa3a6343d325fad1af3bcb84e7daa48c1eae4ce694fc6f327d610d698~
LastUsed    1408109012
Bronze      64
Copper      1533
Gold        47
Silver      50
End

#BANK
Name        dullin~
Password    2a3b31a0b0655dbacf03bcbfd76eb514d93e7735f83c4e65d50234ed7968edc7~
LastUsed    1407909613
Gold        69
End

#BANK
Name        duratus~
Password    fb505be51e35cf271711d092c4233cb9868d7be12a8f035049e5ec302a7900a8~
LastUsed    1416294664
Bronze      1000
Gold        4000
Silver      2000
End

#BANK
Name        ferrum~
Password    fb505be51e35cf271711d092c4233cb9868d7be12a8f035049e5ec302a7900a8~
LastUsed    1414033107
End

#BANK
Name        forbidden~
Password    236e2b159a1f3b23c48caea6ea60bf60788cf3bb34fd9e66f47f70603b5d9304~
LastUsed    1407612151
Gold        2298
End

#BANK
Name        galt~
Password    1ae9a778d454cdd297880a7f96adc1021f6c66e3b3d057bd52eb562e99d2d281~
LastUsed    1414854543
Gold        1000
End

#BANK
Name        garrius~
Password    44f324fa7c9c1725e1c1ff46c2d990a697a3b44862019cd5b4a2d94261408299~
LastUsed    1409895830
Copper      20
Gold        6750
End

#BANK
Name        gonth~
Password    fb505be51e35cf271711d092c4233cb9868d7be12a8f035049e5ec302a7900a8~
LastUsed    1415324998
Bronze      1000
Gold        700
Silver      500
End

#BANK
Name        kairi~
Password    411fac994793ba2310fce7fe79049d13eb7e46aa6439fe131cc29f5a2fa25d17~
LastUsed    1406127552
Bronze      1100
Copper      750
Gold        460
Silver      450
End

#BANK
Name        kentor~
Password    0d416cbd4e2cdb9bc39e41ba7e7a8657fa04375df11d28447d271f1a41c80ed2~
LastUsed    1416070832
Bronze      7
Copper      6
Gold        6
Silver      10
End

#BANK
Name        kimel~
Password    bd4b6c7929d5de8574cb174073382f279074fa1b1b8b5ce9a4d24c30d969d4e5~
LastUsed    1415210654
Bronze      147
Copper      512
Gold        1944
Silver      517
End

#BANK
Name        kingston~
Password    kiWsOj3qL37Bg~
LastUsed    1405216147
Bronze      1801
Copper      1025
Gold        26
Silver      510
End

#BANK
Name        klorawn~
Password    bd1025791beefefd8a53dc1061506b681982e7b122e3153ea45b81d224fb3e69~
LastUsed    1419871890
Gold        1000
Silver      986
End

#BANK
Name        kyrigan~
Password    1ae9a778d454cdd297880a7f96adc1021f6c66e3b3d057bd52eb562e99d2d281~
LastUsed    1417826233
Gold        925
End

#BANK
Name        leonem~
Password    fb505be51e35cf271711d092c4233cb9868d7be12a8f035049e5ec302a7900a8~
LastUsed    1414984993
Bronze      4000
Gold        500
Silver      1000
End

#BANK
Name        lyra~
Password    767c9abe156ee5ddb4994877a2e43de8287325899e93ddae67f6d2bb1741a940~
LastUsed    1407278008
Bronze      4260
Copper      1990
Gold        25
Silver      10501
End

#BANK
Name        maleficus~
Password    fb505be51e35cf271711d092c4233cb9868d7be12a8f035049e5ec302a7900a8~
LastUsed    1414890107
Bronze      500
Gold        1145
Silver      2400
End

#BANK
Name        mirinda~
Password    956beab0e9e443be12048c868a29d2f12141eaecc8a2a6e3c02bd8ccb338e89f~
LastUsed    1415419785
Bronze      79
Copper      899
Silver      50
End

#BANK
Name        monicashot~
Password    81e4d19fa9cc1091ea6777221030597adf4bab59d04aabed028267cf0a10fb61~
LastUsed    1410019666
End

#BANK
Name        mordion~
Password    272c6382fa55671c634bc7044ce1862a0bf4a0c3d3518185cba83cd0cfec46d9~
LastUsed    1421904778
End

#BANK
Name        myrlan~
Password    18aa8614ff3cb868572c697b54f9d559047214a6d2e2a9f1a9ae94a7e9da340f~
LastUsed    1414945652
Bronze      2000
Gold        230
Silver      4000
End

#BANK
Name        paleon~
Password    236e2b159a1f3b23c48caea6ea60bf60788cf3bb34fd9e66f47f70603b5d9304~
LastUsed    1407612151
Gold        193
End

#BANK
Name        playerall~
Password    95b224adaec5b3fa4cd63af43f660a0c3cdfd6727dce3d74e69432250d71a0db~
LastUsed    1419751129
Gold        29410
End

#BANK
Name        raoden~
Password    b6903cdc4be5776a536afa1ea5c2b2b5b7d9275a2e25d2c4efb87bd8324e02ce~
LastUsed    1432129877
End

#BANK
Name        saltus~
Password    fb505be51e35cf271711d092c4233cb9868d7be12a8f035049e5ec302a7900a8~
LastUsed    1414560424
Bronze      4000
Copper      20000
Gold        260
Silver      900
End

#BANK
Name        sasiri~
Password    c2ed511a1e461f50cb1bbc4d262bb91f89368b3fd24bf5a9373be7114e4a0b54~
LastUsed    1418958519
Bronze      50
Copper      500
Gold        7
Silver      40
End

#BANK
Name        sing~
Password    bd4b6c7929d5de8574cb174073382f279074fa1b1b8b5ce9a4d24c30d969d4e5~
LastUsed    1414772340
Copper      998
Gold        225
Silver      4300
End

#BANK
Name        varchild~
Password    da42c6ed9a0b389194071195f565433958f013a33e22c0d7c4e0e45b22efa8b0~
LastUsed    1407542886
Bronze      5148
Copper      751
Gold        582
Silver      8429
End

#BANK
Name        vladaar~
Password    77102b2b5cb46718ec0313d1a294db76e027f88ae8fc1bc238f02a2e41672d95~
LastUsed    1415650170
Copper      10
Gold        1519
Silver      1990
End

#BANK
Name        voluntas~
Password    fb505be51e35cf271711d092c4233cb9868d7be12a8f035049e5ec302a7900a8~
LastUsed    1414690268
Bronze      100
Gold        1175
Silver      400
End

#BANK
Name        weib~
Password    bd4b6c7929d5de8574cb174073382f279074fa1b1b8b5ce9a4d24c30d969d4e5~
LastUsed    1415549584
Bronze      197
Copper      424
Gold        1481
Silver      2136
End

#BANK
Name        yordstorm~
Password    3d50c83e4d545f6d16cec65c66986cebfa66f0e637a64bb8a5c3abb0ffcf00ef~
LastUsed    1406851055
Bronze      200
Copper      1000
End

#BANK
Name        zaiden~
Password    9aeb4696b857f0ec57adc96ed8d6f392c2636a82b2acf954e1237fa2524ece16~
LastUsed    1419810471
Gold        10000
End

#END
